Commander/s,Identity,Appearances,Wins,Avg Winrate,Avg Drawrate,Best Standing,Worst Standing
Asmoranomardicadaistinaculdacar,BR,2,1,0.1,0.3,11,69
"Kasla, the Broken Halo",WUR,2,3,0.243,0.333,37,130
"Sram, Senior Edificer",W,2,1,0.1,0.1,23,73
"Optimus Prime, Hero // Optimus Prime, Autobot Leader",WUR,2,1,0.125,0.0,24,35
"Gale, Waterdeep Prodigy / Scion of Halaster",UB,2,1,0.1,0.0,43,101
Commodore Guff,WUR,2,0,0.0,0.0,50,66
Yargle and Multani,BG,2,0,0.0,0.0,27,77
"Ikra Shidiqi, the Usurper / Sakashima of a Thousand Faces",UBG,2,1,0.083,0.0,43,68
"Kroxa, Titan of Death's Hunger",BR,2,2,0.2,0.0,4,114
"Osgir, the Reconstructor",WR,2,1,0.1,0.182,49,78
"Jeska, Thrice Reborn / Kraum, Ludevic's Opus",UR,2,1,0.083,0.0,71,88
"Neera, Wild Mage",UR,2,0,0.0,0.125,35,59
"Adeline, Resplendent Cathar",W,2,2,0.2,0.0,35,62
"Siona, Captain of the Pyleas",WG,2,0,0.0,0.125,49,85
"Yedora, Grave Gardener",G,2,0,0.0,0.222,33,91
Lurrus of the Dream-Den,WB,2,0,0.0,0.286,33,45
"Zabaz, the Glimmerwasp",WR,2,2,0.225,0.0,22,35
"Dargo, the Shipwrecker / Sidar Kondo of Jamuraa",WRG,2,2,0.2,0.0,41,75
"Vaevictis Asmadi, the Dire",BRG,2,0,0.0,0.222,29,111
"Breena, the Demagogue",WB,2,1,0.1,0.333,19,42
"Tymna the Weaver / Yoshimaru, Ever Faithful",WB,2,0,0.0,0.167,44,98
Meren of Clan Nel Toth,BG,2,1,0.083,0.0,49,53
"Grazilaxx, Illithid Scholar",U,2,2,0.225,0.111,22,61
"Ardenn, Intrepid Archaeologist / Silas Renn, Seeker Adept",WUB,2,1,0.1,0.111,37,84
"Ikra Shidiqi, the Usurper / Ishai, Ojutai Dragonspeaker",WUBG,2,1,0.125,0.222,29,98
Gaddock Teeg,WG,2,1,0.125,0.143,30,97
"Tazri, Stalwart Survivor",WUBRG,2,2,0.25,0.0,6,91
"Elesh Norn, Grand Cenobite",W,2,0,0.0,0.143,94,101
"Daretti, Scrap Savant",R,2,3,0.3,0.1,13,15
"Bruse Tarl, Boorish Herder / Tana, the Bloodsower",WRG,2,1,0.1,0.3,34,109
Sharuum the Hegemon,WUB,2,0,0.0,0.0,25,51
Gandalf the White,W,2,2,0.143,0.182,12,46
Trazyn the Infinite,B,2,1,0.125,0.125,42,55
"Sidisi, Brood Tyrant",UBG,2,0,0.0,0.444,37,72
"Ishai, Ojutai Dragonspeaker / Kediss, Emberclaw Familiar",WUR,2,3,0.267,0.455,8,33
"Hanna, Ship's Navigator",WU,2,0,0.0,0.1,49,61
"Lathril, Blade of the Elves",BG,2,1,0.1,0.125,30,58
"Scion of Halaster / Zellix, Sanity Flayer",UB,2,1,0.1,0.25,12,126
"Chiss-Goria, Forge Tyrant",R,2,2,0.183,0.182,15,17
"Belbe, Corrupted Observer",BG,2,2,0.167,0.273,10,42
"Kutzil, Malamet Exemplar",WG,2,1,0.125,0.25,65,82
"Guild Artisan / Jaheira, Friend of the Forest",RG,2,2,0.167,0.2,13,68
"Dargo, the Shipwrecker / Malcolm, Keen-Eyed Navigator",UR,2,2,0.183,0.182,8,29
"Urza, Chief Artificer",WUB,2,1,0.1,0.111,37,51
"Glarb, Calamity's Augur",UBG,2,2,0.225,0.222,20,27
Edward Kenway,UBR,2,2,0.25,0.0,30,31
Ms. Bumbleflower,WUG,2,0,0.0,0.111,58,232
"Eluge, the Shoreless Sea",U,2,2,0.167,0.111,13,81
The Infamous Cruelclaw,BR,2,0,0.0,0.111,50,63
"Gev, Scaled Scorch",BR,2,2,0.2,0.125,6,36
"Ishai, Ojutai Dragonspeaker / Vial Smasher the Fierce",WUBR,1,0,0.0,0.5,51,51
"Alesha, Who Smiles at Death",WBR,1,0,0.0,0.0,60,60
Imskir Iron-Eater,BR,1,0,0.0,0.0,62,62
"Grenzo, Dungeon Warden",BR,1,0,0.0,0.0,65,65
"Geralf, the Fleshwright",U,1,1,0.167,0.333,69,69
Sarah Jane Smith / The Fifteenth Doctor,WUR,1,0,0.0,0.5,128,128
Atogatog,WUBRG,1,0,0.0,0.143,143,143
"Ardenn, Intrepid Archaeologist / Vial Smasher the Fierce",WBR,1,2,0.333,0.0,16,16
Progenitus,WUBRG,1,1,0.2,0.2,29,29
Basim Ibn Ishaq,UB,1,1,0.25,0.25,20,20
"Cecily, Haunted Mage / Elmar, Ulvenwald Informant",UBRG,1,0,0.0,0.2,85,85
"Vito, Thorn of the Dusk Rose",B,1,0,0.0,0.2,93,93
"Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar",UG,1,2,0.333,0.333,10,10
"Elas il-Kor, Sadistic Pilgrim",WB,1,0,0.0,0.0,66,66
"Sidar Kondo of Jamuraa / Tevesh Szat, Doom of Fools",WBG,1,2,0.333,0.5,6,6
"Reyhan, Last of the Abzan / Tymna the Weaver",WBG,1,2,0.333,0.167,12,12
"Ashling, Flame Dancer",R,1,0,0.0,0.0,83,83
"Master Chef / Volo, Itinerant Scholar",UG,1,0,0.0,0.333,35,35
"Ikra Shidiqi, the Usurper / Thrasios, Triton Hero",UBG,1,0,0.0,0.2,49,49
Graham O'Brien / The Tenth Doctor,URG,1,0,0.0,0.0,34,34
The Swarmlord,URG,1,0,0.0,0.0,44,44
"Ulalek, Fused Atrocity",WUBRG,1,1,0.2,0.0,57,57
"Inti, Seneschal of the Sun",R,1,0,0.0,0.25,31,31
"Cass, Hand of Vengeance",WR,1,0,0.0,0.5,93,93
Hakbal of the Surging Soul,UG,1,0,0.0,0.0,122,122
Themberchaud,R,1,0,0.0,0.0,123,123
Pia and Kiran Nalaar,R,1,0,0.0,0.2,30,30
"Agent of the Iron Throne / Volo, Itinerant Scholar",UB,1,1,0.25,0.0,29,29
"Urza, Prince of Kroog",WU,1,0,0.0,0.0,57,57
"Kellan, Inquisitive Prodigy // Tail the Suspect",UG,1,0,0.0,0.0,81,81
"Goro-Goro, Disciple of Ryusei",R,1,0,0.0,0.0,85,85
"Lagrella, the Magpie",WUG,1,0,0.0,0.0,41,41
"Armix, Filigree Thrasher / Tevesh Szat, Doom of Fools",B,1,2,0.333,0.333,8,8
Elenda and Azor,WUB,1,1,0.2,0.0,41,41
"Reyhan, Last of the Abzan / Rograkh, Son of Rohgahh",BRG,1,2,0.333,0.5,5,5
"Bruse Tarl, Boorish Herder / Tymna the Weaver",WBR,1,0,0.0,0.4,47,47
"Dogmeat, Ever Loyal",WRG,1,1,0.25,0.0,82,82
"Ulamog, the Ceaseless Hunger",C,1,0,0.0,0.2,99,99
"Ardenn, Intrepid Archaeologist / Rograkh, Son of Rohgahh",WR,1,0,0.0,0.4,81,81
"Atarka, World Render",RG,1,0,0.0,0.167,70,70
"Taii Wakeen, Perfect Shot",WR,1,0,0.0,0.0,28,28
Hofri Ghostforge,WR,1,0,0.0,0.0,47,47
Riku of Many Paths,URG,1,0,0.0,0.2,43,43
"Vadrok, Apex of Thunder",WUR,1,1,0.2,0.2,40,40
"Kraum, Ludevic's Opus / Tormod, the Desecrator",UBR,1,0,0.0,0.0,70,70
"Marchesa, the Black Rose",UBR,1,0,0.0,0.4,58,58
"Anafenza, the Foremost",WBG,1,0,0.0,0.0,43,43
Thraximundar,UBR,1,0,0.0,0.0,36,36
"The Master, Formed Anew",UB,1,0,0.0,0.25,46,46
Rowan Kenrith / Will Kenrith,UR,1,1,0.25,0.0,55,55
Laughing Jasper Flint,BR,1,2,0.4,0.0,13,13
"Aragorn, Hornburg Hero",WRG,1,1,0.2,0.2,34,34
The Reality Chip,U,1,0,0.0,0.0,114,114
"Kaalia, Zenith Seeker",WBR,1,0,0.0,0.2,76,76
"Slogurk, the Overslime",UG,1,0,0.0,0.0,81,81
"Gluntch, the Bestower",WG,1,0,0.0,0.0,92,92
"Caesar, Legion's Emperor",WBR,1,0,0.0,0.0,27,27
"Yuma, Proud Protector",WRG,1,0,0.0,0.0,40,40
"Coram, the Undertaker",BRG,1,1,0.2,0.4,19,19
"Agent of the Iron Throne / Erinis, Gloom Stalker",BG,1,1,0.2,0.4,22,22
"Malcolm, Keen-Eyed Navigator / Thrasios, Triton Hero",UG,1,0,0.0,0.0,47,47
"Karn, Legacy Reforged",C,1,0,0.0,0.0,83,83
"Kamahl, Heart of Krosa / Rograkh, Son of Rohgahh",RG,1,0,0.0,0.2,54,54
The Howling Abomination,RG,1,0,0.0,0.2,65,65
"Candlekeep Sage / Ganax, Astral Hunter",UR,1,1,0.143,0.0,160,160
"Uro, Titan of Nature's Wrath",UG,1,0,0.0,0.5,180,180
"Ishai, Ojutai Dragonspeaker / Krark, the Thumbless",WUR,1,3,0.6,0.2,2,2
"Arcades, the Strategist",WUG,1,0,0.0,0.0,47,47
"Bruse Tarl, Boorish Herder / Ishai, Ojutai Dragonspeaker",WUR,1,0,0.0,0.4,57,57
"Ayara, First of Locthwain",B,1,0,0.0,0.0,112,112
"Agent of the Iron Throne / Baeloth Barrityl, Entertainer",BR,1,0,0.0,0.0,122,122
"Raised by Giants / Wilson, Refined Grizzly",G,1,0,0.0,0.0,123,123
"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",UBR,1,0,0.0,0.0,72,72
"Varolz, the Scar-Striped",BG,1,0,0.0,0.0,120,120
"Kumena, Tyrant of Orazca",UG,1,0,0.0,0.0,121,121
Sidar Kondo of Jamuraa / Tymna the Weaver,WBG,1,2,0.333,0.0,62,62
"Greymond, Avacyn's Stalwart",W,1,1,0.2,0.2,72,72
"Momir Vig, Simic Visionary",UG,1,1,0.167,0.0,99,99
"Falthis, Shadowcat Familiar / Jeska, Thrice Reborn",BR,1,0,0.0,0.0,137,137
"Blex, Vexing Pest // Search for Blex",BG,1,0,0.0,0.0,156,156
"Ardenn, Intrepid Archaeologist / Ishai, Ojutai Dragonspeaker",WU,1,0,0.0,0.5,88,88
Kaervek the Merciless,BR,1,0,0.0,0.0,32,32
"Rakdos, Patron of Chaos",BR,1,0,0.0,0.0,49,49
Kodama of the West Tree,G,1,1,0.167,0.167,32,32
Rafiq of the Many,WUG,1,0,0.0,0.2,40,40
Loran of the Third Path,W,1,0,0.0,0.6,82,82
"Halana, Kessig Ranger / Tevesh Szat, Doom of Fools",BG,1,0,0.0,0.2,90,90
"Sakashima of a Thousand Faces / Tevesh Szat, Doom of Fools",UB,1,1,0.25,0.0,68,68
"Jegantha, the Wellspring",WUBRG,1,1,0.25,0.0,33,33
Drana and Linvala,WB,1,0,0.0,0.0,85,85
"Killian, Ink Duelist",WB,1,1,0.25,0.0,34,34
Riku of Two Reflections,URG,1,0,0.0,0.25,41,41
Maralen of the Mornsong,B,1,0,0.0,0.25,42,42
Teysa Karlov,WB,1,1,0.25,0.0,46,46
"Harald, King of Skemfar",BG,1,0,0.0,0.0,52,52
"Zaffai, Thunder Conductor",UR,1,0,0.0,0.0,55,55
"Preston, the Vanisher",W,1,0,0.0,0.0,60,60
"Alena, Kessig Trapper / Jeska, Thrice Reborn",R,1,0,0.0,0.0,48,48
"Hurkyl, Master Wizard",U,1,2,0.286,0.286,16,16
"Karn, Silver Golem",C,1,0,0.0,0.0,45,45
Mayael the Anima,WRG,1,1,0.167,0.0,52,52
"Jace, Vryn's Prodigy // Jace, Telepath Unbound",U,1,0,0.0,0.167,68,68
Hans Eriksson,RG,1,2,0.333,0.167,20,20
"Rashmi, Eternities Crafter",UG,1,3,0.5,0.167,2,2
"Folk Hero / Volo, Itinerant Scholar",WU,1,1,0.25,0.5,20,20
Baral and Kari Zev,UR,1,0,0.0,0.0,67,67
"Denry Klin, Editor in Chief",WU,1,0,0.0,0.0,111,111
"Ishai, Ojutai Dragonspeaker / Thrasios, Triton Hero",WUG,1,0,0.0,0.0,121,121
"Bruse Tarl, Boorish Herder / Kodama of the East Tree",WRG,1,0,0.0,0.2,63,63
"Bruse Tarl, Boorish Herder / Ikra Shidiqi, the Usurper",WBRG,1,0,0.0,0.0,75,75
"Saruman, the White Hand",UBR,1,0,0.0,0.25,55,55
Samwise Gamgee,WG,1,2,0.286,0.286,31,31
"Plargg, Dean of Chaos // Augusta, Dean of Order",WR,1,2,0.667,0.333,7,7
Niv-Mizzet Reborn,WUBRG,1,0,0.0,0.5,104,104
"Ardenn, Intrepid Archaeologist / Tana, the Bloodsower",WRG,1,2,0.4,0.2,18,18
"Mishra, Tamer of Mak Fawa",BR,1,0,0.0,0.0,85,85
"Ravos, Soultender / Tymna the Weaver",WB,1,0,0.0,0.0,88,88
"Sarulf, Realm Eater",BG,1,0,0.0,0.25,43,43
"Jeska, Thrice Reborn / Rograkh, Son of Rohgahh",R,1,1,0.143,0.0,96,96
"Sydri, Galvanic Genius",WUB,1,0,0.0,0.8,39,39
"Jeska, Thrice Reborn / Malcolm, Keen-Eyed Navigator",UR,1,0,0.0,0.333,45,45
Kefnet the Mindful,U,1,0,0.0,0.2,47,47
Sliver Gravemother,WUBRG,1,0,0.0,0.0,52,52
"Hansk, Slayer Zealot",RG,1,0,0.0,0.0,64,64
"Skrelv, Defector Mite",W,1,0,0.0,0.333,50,50
"Kira, Great Glass-Spinner",U,1,0,0.0,0.0,38,38
"Orcus, Prince of Undeath",BR,1,0,0.0,0.0,60,60
"Yarok, the Desecrated",UBG,1,0,0.0,0.2,84,84
"Circu, Dimir Lobotomist",UB,1,0,0.0,0.0,83,83
"Kodama of the East Tree / Thrasios, Triton Hero",UG,1,0,0.0,0.667,89,89
"Lord Xander, the Collector",UBR,1,0,0.0,0.25,46,46
"Neheb, the Worthy",BR,1,0,0.0,0.0,54,54
"Neheb, the Eternal",R,1,0,0.0,0.0,45,45
"Henzie ""Toolbox"" Torre",BRG,1,0,0.0,0.0,46,46
"Wort, Boggart Auntie",BR,1,1,0.143,0.286,83,83
"Kentaro, the Smiling Cat",W,1,0,0.0,0.0,176,176
"Olivia, Crimson Bride",BR,1,0,0.0,0.0,31,31
"Agent of the Iron Throne / Zellix, Sanity Flayer",UB,1,0,0.0,0.0,56,56
"Aragorn, King of Gondor",WUR,1,1,0.2,0.2,22,22
"Akiri, Line-Slinger / Francisco, Fowl Marauder",WBR,1,1,0.25,0.0,43,43
"Etali, Primal Storm",R,1,0,0.0,0.25,41,41
"Kamahl, Heart of Krosa / Tymna the Weaver",WBG,1,1,0.2,0.4,17,17
"Nashi, Moon's Legacy",UBG,1,0,0.0,0.0,121,121
"Baral, Chief of Compliance",U,1,2,0.4,0.0,11,11
"Chainer, Nightmare Adept",BR,1,0,0.0,0.0,39,39
"Hazezon, Shaper of Sand",WRG,1,1,0.2,0.0,38,38
"Tetzin, Gnome Champion // The Golden-Gear Colossus",WUR,1,1,0.2,0.2,29,29
Dragonlord Ojutai,WU,1,0,0.0,0.0,22,22
"Veyran, Voice of Duality",UR,1,0,0.0,0.0,28,28
"Drafna, Founder of Lat-Nam",U,1,0,0.0,0.2,42,42
"Chainer, Dementia Master",B,1,0,0.0,0.0,130,130
Katilda and Lier,WUG,1,0,0.0,0.2,68,68
Sidar Jabari of Zhalfir,WUB,1,0,0.0,0.0,75,75
Adun Oakenshield,BRG,1,0,0.0,0.25,50,50
Ertai Resurrected,UB,1,0,0.0,0.2,52,52
"Adric, Mathematical Genius / The War Doctor",WUR,1,0,0.0,0.6,43,43
Feldon of the Third Path,R,1,0,0.0,0.4,36,36
Tom Bombadil,WUBRG,1,0,0.0,0.0,45,45
"Ravos, Soultender / Thrasios, Triton Hero",WUBG,1,2,0.333,0.5,6,6
"Noyan Dar, Roil Shaper",WU,1,1,0.2,0.4,41,41
Saruman of Many Colors,WUB,1,0,0.0,0.2,105,105
"Francisco, Fowl Marauder / Rograkh, Son of Rohgahh",BR,1,0,0.0,0.0,55,55
"Maarika, Brutal Gladiator",BRG,1,0,0.0,0.333,116,116
"Emmara, Soul of the Accord",WG,1,1,0.25,0.0,37,37
"Akiri, Line-Slinger / Silas Renn, Seeker Adept",WUBR,1,1,0.2,0.2,28,28
"Jin-Gitaxias, Progress Tyrant",U,1,1,0.25,0.0,29,29
"Francisco, Fowl Marauder / Tymna the Weaver",WB,1,0,0.0,0.2,84,84
"Livio, Oathsworn Sentinel / Thrasios, Triton Hero",WUG,1,0,0.0,0.25,87,87
"Neheb, Dreadhorde Champion",R,1,2,0.25,0.125,12,12
"Venser, Corpse Puppet",UB,1,1,0.143,0.286,16,16
"Imoti, Celebrant of Bounty",UG,1,1,0.2,0.2,30,30
"Kraum, Ludevic's Opus / Livio, Oathsworn Sentinel",WUR,1,1,0.2,0.0,44,44
"Illuna, Apex of Wishes",URG,1,0,0.0,0.0,54,54
"Shadowheart, Dark Justiciar / Street Urchin",BR,1,0,0.0,0.0,70,70
"Raggadragga, Goreguts Boss",RG,1,0,0.0,0.2,44,44
"Kodama of the East Tree / Silas Renn, Seeker Adept",UBG,1,0,0.0,0.4,40,40
"Nashi, Moon Sage's Scion",B,1,0,0.0,0.2,48,48
Gwendlyn Di Corci,UBR,1,3,0.429,0.143,3,3
"Jeska, Thrice Reborn / Tevesh Szat, Doom of Fools",BR,1,4,0.571,0.0,2,2
"Flamewar, Brash Veteran // Flamewar, Streetwise Operative",BR,1,1,0.2,0.6,17,17
"Kwain, Itinerant Meddler",WU,1,1,0.2,0.2,32,32
"Ishai, Ojutai Dragonspeaker / Rograkh, Son of Rohgahh",WUR,1,0,0.0,0.0,65,65
"Ludevic, Necrogenius // Olag, Ludevic's Hubris",UB,1,1,0.2,0.0,42,42
"Arahbo, Roar of the World",WG,1,0,0.0,0.0,64,64
