Commander/s,Identity,Appearances,Wins,Avg Winrate,Avg Drawrate,Best Standing,Worst Standing
"Rakdos, the Muscle",BR,28,38,0.237,0.177,4,208
"Kess, Dissident Mage",UBR,28,31,0.197,0.101,1,129
Captain Sisay,WG,28,29,0.181,0.193,1,146
"Heliod, Sun-Crowned",W,27,17,0.119,0.205,10,189
"Dargo, the Shipwrecker / Ikra Shidiqi, the Usurper",BRG,27,38,0.242,0.103,2,156
"Erinis, Gloom Stalker / Street Urchin",RG,26,35,0.232,0.312,1,117
"Omnath, Locus of Creation",WURG,26,21,0.146,0.179,7,198
"Cormela, Glamour Thief",UBR,26,23,0.163,0.116,1,194
"Kraum, Ludevic's Opus / Reyhan, Last of the Abzan",UBRG,26,23,0.152,0.183,3,174
"Varragoth, Bloodsky Sire",B,26,28,0.18,0.231,2,76
"Selvala, Heart of the Wilds",G,26,23,0.161,0.146,1,152
"Francisco, Fowl Marauder / Thrasios, Triton Hero",UBG,25,17,0.124,0.233,7,132
"Thada Adel, Acquisitor",U,24,24,0.168,0.22,7,84
"Halana, Kessig Ranger / Tymna the Weaver",WBG,24,28,0.209,0.192,2,145
"Gyruda, Doom of Depths",UB,23,20,0.149,0.174,8,147
"Esika, God of the Tree // The Prismatic Bridge",WUBRG,23,21,0.172,0.109,6,138
"Teferi, Temporal Archmage",U,23,29,0.204,0.248,1,122
"Ishai, Ojutai Dragonspeaker / Tevesh Szat, Doom of Fools",WUB,22,10,0.081,0.13,2,117
"Yeva, Nature's Herald",G,22,27,0.221,0.125,2,168
"Zirda, the Dawnwaker",WR,22,23,0.198,0.144,8,146
"The Master, Transcendent",UBG,22,19,0.147,0.157,2,157
"Marath, Will of the Wild",WRG,21,16,0.136,0.168,2,118
Ratadrabik of Urborg,WB,21,20,0.185,0.188,7,120
"Codie, Vociferous Codex",WUBRG,21,26,0.228,0.13,2,161
Arcum Dagsson,U,20,23,0.216,0.168,1,182
"Kraum, Ludevic's Opus / Thrasios, Triton Hero",URG,20,17,0.157,0.21,7,116
Slimefoot and Squee,BRG,20,9,0.089,0.064,17,117
"Cecily, Haunted Mage / Wernog, Rider's Chaplain",WUBR,19,13,0.108,0.215,13,184
"Marchesa, Dealer of Death",UBR,19,23,0.207,0.24,3,211
Scion of the Ur-Dragon,WUBRG,19,17,0.171,0.261,2,158
"Teshar, Ancestor's Apostle",W,19,14,0.14,0.102,14,121
"Prosper, Tome-Bound",BR,19,12,0.124,0.149,17,109
"Pantlaza, Sun-Favored",WRG,18,17,0.163,0.22,7,75
"Braids, Arisen Nightmare",B,18,14,0.155,0.14,12,100
"Armix, Filigree Thrasher / Kraum, Ludevic's Opus",UBR,18,17,0.175,0.148,13,163
Oswald Fiddlebender,W,17,16,0.171,0.238,1,91
"Liberator, Urza's Battlethopter",C,17,11,0.117,0.218,4,139
"Rionya, Fire Dancer",R,16,11,0.139,0.127,15,136
"Brallin, Skyshark Rider / Shabraz, the Skyshark",WUR,16,9,0.116,0.135,13,191
"Chulane, Teller of Tales",WUG,16,8,0.092,0.111,17,121
"Bruse Tarl, Boorish Herder / Malcolm, Keen-Eyed Navigator",WUR,16,18,0.192,0.107,3,186
"Zhulodok, Void Gorger",C,16,12,0.131,0.076,1,60
"Oskar, Rubbish Reclaimer",UB,16,16,0.182,0.2,4,242
"Dargo, the Shipwrecker / Silas Renn, Seeker Adept",UBR,15,14,0.179,0.132,12,130
"Jeska, Thrice Reborn / Thrasios, Triton Hero",URG,15,6,0.077,0.179,10,146
